title,text,symbols
Fantastical Fantasy,"The Orphan Queen was a slow start.  That being said, by the time I got to the end, I was racing through on the edge of my seat, and now I am dying to know more (and secretly building a time machine to the future to pick up book #2).  I loved the main character Wil in this novel.  She was solid, purposeful and while she did have some moments to whiny teenage angst, they were mostly justified (what with witnessing her parents murders as a child).  I LOOOVED the character Black Knife.  Jodi Meadows has a way with her male leads that draws you in with the first meeting.  The world building was adequate.  The world itself, fascinating and mysterious, however, our interaction with it as the reader was somewhat limited.  There are several novellas planned in the series, unfortunately, I do not think they will be enough to quell my desire to know more about the world and the ancillary characters involved in the story.  Overall, I did grow to really enjoy this novel and am sad that it is only a duology as I think there is so much material smooshed into this one book that could have been developed in a longer series...Final Recommendations:  if you love high fantasy, mysterious organizations, even more mysterious vigilantes, swoony romance, royal jerks, strange magic",
Lisbeth lives on!,"David Lagercrantz comes very, very close to duplicating Stieg Larsson’s  “Lisbeth Salandar” trilogy which thoughlly enjoyed.  I will buy Lagercrantz‘s next novel that continues the theme and characters.",
Jan Brett. I don't need to say more...,Jan Brett's books are incredible. The stories and illustrations are so detailed and beautiful. Every time I see a new Jan Brett book I pick it up. I have quite a collection now.,
Just OK.,"The premise of this book is what attracted me to it. A group of neighbours meet for bookclub when a stranger joins in and gets them to drink(to lose their inhibitions) and play Never Have I Ever. The problem for me is that very early on I disliked both main characters (Amy and Roux), who become rivals. My next issue was that so much of the story was totally implausible. Not only was Roux blackmailing Amy, but she was also guilty of kidnapping a teenage boy who she passed off as her son and blackmailing several of the other neighbours. Moreover, Amy's friend Char came off as weak and Davis resembled a spineless man. An OK read, but not what I'd describe as a thriller.",
"A Thought Provoking, Interesting Story","I found this book to be a great read. Right from the start you are drawn into the life of one of the four very different, but fascinating characters. It has you wondering why he would commit such a act. As you travel back in time to war torn Italy, you slowly grow to understand with the help of his three fellow soldiers, the Italian people of this small village, scarred by the horrors they had witnessed, and the small Italian boy he had rescued. The book is SO much better than the movie. PLEASE take the time to read it. All the wonderful details, descriptions, and emotions are missing in the movie.",
I am readding the book now,The book goes with the flow with how the.event took place when Trump was running.for office. So far so good. Barbara A Barclay,
Chaos Mode,"This is a very good book as all the books in this series are. However, if the only thing you've seen of Piers Anthony is his Xanth series that is so popular, then you may want to screen this for the kids. All of these books deal with adult issues. You can judge whether someone is mature enough to read it, but all the books in this series follow a girl who is suicidal, the older man she loves and who loves her and their various companions. They deal with issues like suicide, rape, sex, etc... They do it in good way that is relevant and fits into the story. The story is about a girl Coleen, who was raped at a party once. Her father is an adulterer and her mother is a drunk. She puts on a good act and is a very popular girl on the outside, but cuts her self and frequently contemplates suicide, though she's very smart. One day on the way home from school, she comes across a man passed out in a ditch. Her suicidal nature leads her to take him home. After learning a little of each others language, he says that he's from another world/mode and that he wants to take her to be his wife there. She doesn't believe him and he disappears. She believes him and realizes she's made a mistake and he realizes he shouldn't have left. The method he takes is random though and the only way to reliably get back to Coleen is by invoking a virtual mode. The rest of the story is about how Coleen and Darren are trying to find each other and get back to his mode. They continuously encounter problems and solve them with the help of their friends from the other anchor modes. The whole time Coleen is trying to deal with her issues so that she can be with Darren in a health relationship. So there are many different things going on in this series and I have just gone over the general gist so that I don't give anything away. Everything is done in a tasteful manner, but as I said it contains very adult subject matter. Enjoy.",
Five Stars,Great science and science writing!  This book is a wonderful companion for &#34;The Next Tsunami&#34; by Bonnie Henderson.,
Excellent!,Great book! Could hardly put this one down!  Good story and great writing!  Definitely will read more by this  author an  can't wait to read  the next one!,
I like all the October Daye books I've read,"I like all the October Daye books I've read, but this is my favorite of the seven so far released!",
Great Book,"Love this book, very happy with purchase.  Has lots of information and great ideas, well written.  This is a book I will reference often.",
Love It,I love Marie Force as an author - thoroughly enjoyed both books in the Fatal series. Can't wait for more,
A childhood must have!,"Classic set, and was a must to purchase for our newborn.  My wife enjoys reading to him as he falls asleep, and when he is older he will read them to us.",
Read this book,"It's the best book you'll ever read, after reading the hunger games by Susan Collins, I thought I would never find a book that could even compare to it. But despite being biased to the hunger games, I thought this book was better than the hunger games. Although they are not alike, both are amazing books. Even if u haven't read the hunger games, u should still read this book, it was aging and I wish it never ended so that I could just keep reading.",
Five Stars,Awesome book. Very intertaining....,
An intimate reflection upon the lifelong connection Morris Day had with Prince.,"I never used to be a huge Morris Day fan but I am now! I was at Paisley Park when the Time performed 2 months before Prince died. At the time I had no idea how special that night would become years later with Prince finally making amends with Morris. I believe Prince new he was leaving us soon and it was important for him to say goodbye to Morris Day, the band members and all the great memories.",
This book is a complete waste of time,"This book is a complete waste of time, first of the colored bold face type throughout the book makes it annoying to read, the color charts are not an accurate representation of the true shades. I think their first book is the best, after that most of the books have only a small portion that is applicable to any one body type. This is a very basic book and probably good for the color blind.",
Just Excellent,Excellent book. Will change the way you look at life. I was so impressed by this book that I ordered most of the other books written by this author. I was equally impressed and enjoyed each one. You feel uplifted after reading them.  I now send this book to friend's and relatives as a gift who I think it may benefit. I have never done this before with any book.,
Five Stars,Good read,
Bargus,"Although the story line was unique, and the plot kept me guessing until nearly the end who the stalker was, once again I find it difficult to &#34;love&#34; Ms Staub's use of verbs in the present tense (ie: she is leaving the room, she sits up, etc) which is distracting.  It was ok for the price but I would not read this book again or recommend it.",
So cute!!,"This book is adorable. The flaps are sturdy and small, difficult for an infant to really grab with a fistful and tear. She has to use her pincer grip to even touch the flaps (at 9 mo).",
"Excellent, everything I expected and more","""101 Fat Quarter Bags"" is a great buy. Clear sewing instructions and a wide variety of great ideas will have me sewing on these for a long time.",
Soap opera history,"I truly like it, though I missed Herod. He was such a main character in the series on the BBC, I was surprised he was unmentioned. The second volume fills in all of Herod's antics right away in flashback fashion. That filled in the missing part.",
Kesinlikle okunmali,"Nice book, good seller",
Another great book by Robin,"I enjoyed traveling across Colorado, Wyoming, Utah, and Nevada with the characters as I have been to several of the places mentioned. I can relate to Jared and his desire for revenge as I have experienced lots of pain in my day and have had thoughts of revenge myself. But I have seen the effects of anger and bitterness in people and have learned that the need for revenge can destroy you if you are not careful. Fortunately, I saw this in a very close family member and I decided that only God can judge and it is my job to forgive so I don't let the bitterness affect me. This is the third book I have recently read from Robin and I can honestly say that she is now one of my favorite authors.",
Skip this Mess,"This book was so bad, I'm not even sure who the author is or what his job was. What high priced attorney makes his investigator sleep on the floor and have no access to office machines? This book is nothing more than a compilation of other people's work. I didn't.t get past chapter two. Terrible whinny writing with a dash of smart a$$. I wanted to punch this guy just for being him. Do yourself a favor and skip this book. There isn't anyone who thinks Scottie is innocent but this clown tried to make a case that cops jumped to conclusions. Would have , could have, been an interesting book but there was no meat on the bones. Plus his authorial voice was annoying.",$$
Four Stars,great for the kids practice,
Little Miss History Travels... Get Your Complete Set Today!,"Little Miss History Travels to Ellis Island is another amazingly well-written book with so much history. What I love most about this author's books is historical information coupled with rich truths/facts and fantastic illustrations...I just knew I'd enjoy this book, and so many others will, too. We are living during an era where there's much talk about immigration, and immigration laws, so books like this one will usurp much diverse conversations. Adults can help children sort through puzzling questions using respectful discourse one to another...School officials: History teachers, and librarians should have loads of these books on campuses, and classrooms all over. Parents: You will want a complete set of the &#34;Little Miss History Travels to...&#34; books in your home library as well...Get yours today!",
"Authentic, vivid, and heartbreaking","I am, perhaps unsurprisingly, a very big fan of Cormac McCarthy's western novels.  And horses.  After my acquaintance with both, I can say with no reservations that the way Hagy writes horses and the west is authentic and vivid.  While Will Testerman occupies many more pages of narrative than the horse of the title does, Boleto (or ""Ticket"") is by far the most tangibly drawn character in the book, and not just because we know what color she is...I was strongly reminded of McCarthy's [[ASIN:0679744398 All the Pretty Horses (The Border Trilogy, Book 1)]] in many ways, but Hagy has her own voice.  Testerman is in many ways an admirable character and a pleasure to read about.  Even if he does live under a sense of constant failure, he has a real heart for serving others, even when it's difficult.  The themes of the human-horse relationship and betrayal were powerful ones, and used well.  At a crucial point in the story (won't spoil it), I felt my stomach drop along with Will's, and I very nearly cried at the book's conclusion...Perhaps the only thing I can say negative about the novel - and it's no small thing - is the gratuitous sex (and extremely gratuitous, vulgar descriptions) throughout.  When reading McCarthy's [[ASIN:0679760849 The Crossing (The Border Trilogy, Book 2)]] in class years ago, a classmate said ""This isn't realistic at all - he doesn't have sex!""  Well, Testerman certainly makes up for Billy Parham's celibacy.  I don't expect Testerman to abstain from all female contact - but the explicit and unnecessary descriptions of his many, many encounters, while they didn't completely ruin the book for me, made me decide against keeping it.  I can't ever imagine wanting to reread those passages again...I'd love to read some of Hagy's other work - this book has certainly given me a taste for it.  She knows how to use her words economically and with restraint, while still allowing expression for sublime beauty.  I just wish she didn't think she had to be vulgar to be realistic.",
I ran out right away.....,"to buy this book, as two of the author's others: The Sensualist and The Tattooed Map are two of my alltime favorite books.  Unfortunately, I was greatly disappointed. This is the story of Hippolyte, to me an annoying, unlikeable and dirty smelly explorer type (hmmm...the heroine in The Tattooed Map was also none too clean..)who sets out to find some islands that supposedly do not exist. Sounds like a good story, right? Well, it would have been, except that the bulk of the story consists of Hippolyte trying to convince his editor that his journey was fact and not fiction, as she believes. This is done mostly through letters and notes of historical facts sent back and forth. The &quot;finding the islands&quot; part was way too small, and the rest of the book was sooo boring that any mystery etc. regarding these islands is overshadowed by the simple fact that I didn't want to read on. Also, there is some kind of completely unbelievable romance type thing beginning between Hippolyte and his editor Marie that begins to make the book a little bit more interesting, but it never fully develops into anything. Because I paid full price for this book, I forced myself to finish it. I must say that the illustrations did distract from the boredom of the continuous facts and figures in the book, thus raising it's rating from two to three stars.  All in all, I was sorely disappointed, especially since I was so looking forward to another novel by this, one of my favorite authors.",
Three Stars,good strories,
Introduction to the New Testament by Raymond Brown,"This is a great book. Ray Brown is a scholar who has the ability to write so clearly that he is able to pull together years of study and scholarship and bring beginners, students and Scripture readers up to speed on the latest in Biblical understand. I highly recommend this to anyone who wants to learn more about the Bible and how to read it and understand it.",
Great variety and easy to follow,"The patterns are easy to follow, the pictures are wonderful, and the book offers a variety of options.  I took a chance buying this without seeing it first and it is well worth the money I spent.",
Thank you,Perfect,
Five Stars,Fantastic read!!,
Great for geocaching!,We are currently geocaching through every Indiana county. This very detailed map allows us to zoom in on all the areas that we visit. It's entertaining to follow along as a the passenger. Even the smallest of attractions are shown on this map which makes traveling more enjoyable.,
I loved Harri!!,"Meet Tracy Clark's new Detective Harriet ""Harri"" Foster! Hide takes place in Chicago and is a mystery/crime genre book, which is my favorite! It's told from the criminal's POV, as well as the investigator's POV...I liked Harri, whose life has been incredibly challenging for the past few years. She not only lost her son five years ago she also lost her last partner to suicide. She is now working in a different precinct - one that has a team of detectives who are a mix of good and bad...Harri struck me as a person who was as kind as she was intelligent...*SPOILER BELOW*..[Make that she HAD been intelligent, right up until the last part of the book. I SO dislike books where a detective (or detectives) goes off on his or her own, without telling anyone what they are doing or where they are going.🙄]..*END OF SPOILER*..Having said that, I felt the good outweighed the bad, and I'm looking forward to reading the next book in the series, called Fall!!",🙄
"Mr. Sandford, you forgot to take your shoes off.","On the whole, I enjoyed the book, but there was one thing that bugged me a lot. The book takes place in Minnesota, during the winter. It is often snowing. I have lived in Minnesota for over 60 years, and it seems  the (stated) author also lived here from 1978 to at least 1989, based on Wikipedia..The book's narrative is quite detailed, but never, not once, does anyone take off their shoes when they enter a house. And you just don't do that in Minnesota, when there is snow on the ground.",
endofthesentence,"Wonderful book, I love all of Mary Alice Monroe's book and this was no exception.",
Great,"I really loved this book. The way that the author described the main character transforming into a beautiful butterfly, and flying off into the sunset was incredible...Also, the fight scenes with the ninjas were incredible.",
Great for Geeks!! love it!!,This is a great gift for my fellow geeks as they have children or grand children.  They love it and the basic concepts are explained well.  Fun gift to give!!,
Contains more errors than any other book,Great book which will pay for itself,
Very good book for children,It was very pleased with the book I bought it for my 8 year old grandson who has shown a sudden interest in the stars and planets. I even bought him a used but very nice telescope and the book has been very helpful to him in identifying some planets and star systems l,
You think you know ... but you don't,"Love this author.  He makes me feel like I'm there. Love the main character. Smart, daring, no-nonsense. I'm addicted to British detective novels and this was right up there on favorites",
Can beauty rise from ashes?,"Well written, easy to read and follow, and emotionally raw, this novel digs deep into the lasting trauma and scars of a painful past. Kaitlyn skillfully connects us into the MC’s thoughts as he struggles to deal with demons that have haunted him for years. Can he come to terms and open up his heart to a girl who needs him? It’s a story of camaraderie born of heartache and tragic circumstances set in a world much like our own, yet so strangely different..Please note: The themes discussed are most suitable for adult readers, and I received a review copy of this book.",
Husband's Book,Ordered these for my husband upon his request. He said they were great reads and he really enjoyed them. He recommends them,
Best calendar ever if you love Malinois!,I loved every photo. I whose I COULD get in ever year! I hope you will have one up for sale this year. I knows a whole lot of people that would be interested I purchasing one.,
Visionary Science Fiction,"Most of this novel concerns the fate of a cryonically frozen head of an upper class lady. Along the way David Marusek introduces us to the future, circa 2130. It is amazing and dazzyling indeed. David writes in a style that seems to transport the reader to this future, visionary in the utmost, an apparent roadmap to this future age with it's near magical technology, including rejuvenation science, ubiquitous holograms, advanced A.I., clones, nanotech, and much more. I found this book to be a page-turner, and very realistic, these to me are hard to find. And this is the first novel by Marusek at that! The overall plot and character development were superb, and bear in mind that the ending does allow a sequel without any problem, if so, count me in...",
Wish It was More,"Was disappointed in it , but kept it anyway.  Perhaps I'm to picky.",
Rekindle Your Fire With This Great Read!,An elegantly written book that gently and persistently nudges the reader beyond thought into action. This is a must for all who are looking for more from themselves and their careers.,
Good story,"Well written , holds your interest throughout.",
Superb Book,Painters and the American West: The Anschutz Collection is a superb collection of painters of the American west..I purchased it because of the comprehensive inclusion of the major artists of this area of America and of an era which has past.,
Five Stars,I love George Foreman products and his cookbooks.,
Friendly fare,"What starts out as an Aesop's fable inspired story goes in a different direction, in this beginning reader collection of funny short stories about the enmity between Fox and Crow. Longer sentences, with simple vocabulary and a ""chapter"" organization make this book perfect for kids who aren't quite ready for chapter books yet. As Fox and Crow squabble over cheese (their favorite snack) readers will be surprised and pleased to see them both get their much deserved comeuppance from Mama Bear.",
Good,enjoyed the book.  Was a quick read.Same old virgil Flowers working  with the usual group.,
A lovely book,This is a lovely book that helps you create a little chapel of contemplation.  This is a book that can be utilized by the whole family and encourages contemplation that creates a little &#34;chapel of the mind.&#34;  Highly recommended.,
Two Stars,"The illustrations are good, but context is ridiculous.",
Really good read! Read it all in one day because I couldn’t put it down!,Goes to show you really don’t know people. Chilling because of the realism. I love the details of the individuals lives and how they are able to tell the story from multiple perspectives.,
A good Read and lots of info,A good read.  Bob has a great sense of humor so it was enjoyable!  He give plenty of details that i was not able to find elsewhere.  Even includes several blueprints for DIYers!,
Beautiful quality & beautiful cards,"Loved these  - bought for ""happy new year"" - were better than expected!",
Breath of fresh air,"I picked this book up recently and absolutely devoured it. The characters are very well written.  The town is painted so realistically, I feel like I've been there.  I love the history of Serenity Falls, and the story within a story...I've always enjoyed Moore's books, but this series is quickly becoming my favorite...I have the second book, The Pack, up next, and I am more than ready to get started on it.  Highly recommend this book, it's a great little world to get lost in.",
Truly helpful,Comprehensive and genuinely useful. This is the best book on log I've seen yet.,
Surpriding and original.,I have a great appreciatin for this book and it's perspective on race in the US.  As close to the truth as a story can be.,
Didn't feel a connection with the characters,"This continues the story from Secret Angel, and doesn’t really work as a stand-alone, as there are.a lot of references to the backstory, and there isn’t much history given in this story. It would have.been much better if the two had just been combined into one book...I didn’t feel much of an attachment to any of the characters. They could have more depth, and.the dialogue didn’t really seem like it flowed well either...The whole idea in both stories, of a former rock star moving to a tiny town, in search of a better,.more meaningful life, is a good one. I just felt there was something lacking in the story. It needs.more emotional depth. It is a short, quick read, and I highly recommend that Secret Angel be.prior to reading this one.",
Trash of a President,"He has made millions by telling his lies to the American people, while giving them nothing but despair. Worst President of our times.",
Harassment,"The novel by corporate attorney Chandler Baker titled, Whisper Network, deserves a wide readership. Set inside the legal department of a corporation, the action in the novel revolves around past and present sexual harassment by the company’s General Counsel. Corporate attorneys and human resources managers will take a busman’s holiday with this novel, pleased that their workplace is a much better place for women than the company in this novel. Feminists are likely to feel that Baker speaks their truth with eloquence and explains the ways in which #MeToo gives voice to matters once kept secret. Book clubs are likely to embrace this novel and with wine during conversations, personal stories are likely to be revealed. Any man will benefit from reading this novel especially if it leads to improved listening to women and an enhanced perspective about the lives of women in contemporary society...Rating: Five-star (I love it)",
Surrender trilogy,I just got done reading the 2nd part of this Trilogy and I loved it. I am looking forward to the next series and have my calendar marked as I have it pre-ordered. It was tempting to now buy it from the book store and they had it available before my delivery. But I am glad I waited as the was cheaper on Amazon. I love Maya Banks' stories and always look forward to reading them.,
Review,Good book. Satisfied with my purchase,
I wanted to copy drawings to study Waterhouse's technique. ...,I wanted to copy drawings to study  Waterhouse's technique. The images were too blurry to see pencil lines or brush strokes.,
Five Stars,I love it so much when it finally arrived.,
good siblings story - 1980s vibe,"ONE SENTENCE SUMMARY:  An epic party to celebrate the end of summer changes the lives of many...BRIEF REVIEW:  Malibu Rising tells the story of the four Riva siblings: Nina, Jay, Hud and Kit and their parents June and Mick.  Mick was a famous singer who fell in love with June, the daughter of The Costas who owned fish & chips joint in town in 1956.  Through flashbacks we learn much about their rocky relationship and life together how it affected the lives of their four children through the lead up of the big end-of-summer bash on August 27, 1983, that gets out of control and ends in disaster...A love a good family saga and think this one has that feel. This is definitely a character driven story and the author does a great job letting the reader get to know each of the Riva siblings and to and lesser degree, parents June and Mick. I loved the strong sibling ties. By far, Nina was my favorite character, a gorgeous model, fabulous surfer but someone who with a sense of responsibility to others and someone who  put the needs of others above her own. I liked June and Riva's story and that invincible feeling when young and in love that sometimes makes one overlook the obvious. I liked the Malibu beach scene and the 1980s vibes: the sun, the surf, the music and the fancy free lifestyle. My least favorite aspects of this story was the details of the rich and entitled party attendees who seemed to do everything in excess. There was plenty of booze, drugs and sex in this novel as well. Overall I liked this story even though some parts were overdone...This is my second novel by this author, Daisy Jones and the Six was my first and one I enjoyed.  I gather that Mick Riva was one of the husbands in The Seven Husbands of Evelyn Hugo but I haven't read that one yet...RATING:  4/5..Thanks go to Random House Audio for allowing me access to this book in exchange for my unbiased review. The audiobook was read by Julia Whelan who did a great job.",
Inspiring,Beautiful images,
"Vandana Singh is the standout, the rest failed to impress","I am a great fan of time travel stories, so this immense tome ought to be right up my alley, but it failed to impress. I'm surprised by the absence of Poul Anderson (either a Time Patrol or anything else); there was not a single story which captured the in-depth historical background he brings to his writing, and far too few which had any emotional resonance. The volume did introduce me to Vandana Singh, however, and I plan to look up more works from her in the future.",
Overview and Introduction,The book skims over the subject matter and only introduces the material enough that an interested student can figure out where to go next for more information.  The language is correct but cumbersome and can not be read quickly.  This seems to be partly due the meat of the subject but also due to many awkward sentences. Acceptable text book.,
Another Awesome Book!,"Darren Shan has added to his masterpiece series with the 9th book, Killers of the Dawn. As always, these gems are far too short!! Shan is such an excellent writer he keeps you wanting more at the end of each book. In this book, young Darren and company, the Hunters, meet up with the Vampaneze Lord in his lair for an all out fight! A few hair-raising moments, some unexpected turns, and an intriguing plot add to this great storyline. A must read for anyone who loves vampires, humor, and and unique writing of Darren Shan!",
A great gift for crafty beaders,I purchased this book for an avid beader and it was much appreciated. What more can I say?,
